Vendor,Capability,Task,SupportLevel,CustomizationEffort,System,Comments,C:/Users/pkapaleeswaran/workspacej2/FoxHole/db/VendorSelection/Task.prop
Vendor7,Sensory Rehabilitation-Hearing and Audio-Vestibular Care,"Determine the diagnosis, prognosis, and appropriate treatment plan related to hearing or audio-vestibular impairments or disability that result in loss of hearing function, perceived communication deficit, vestibular complaints, or disabling tinnitus.",Out of Box,0,,,
Vendor7,Sensory Rehabilitation-Hearing and Audio-Vestibular Care,Develop standardized clinical practices for hearing and audio- vestibular assessment and rehabilitation.,Out of Box,0,,,
Vendor7,Sensory Rehabilitation-Hearing and Audio-Vestibular Care,"Maximize rehabilitation for patients suffering from hearing impairment, perceived communication deficits, vestibular complaints, and-or disabling tinnitus.",Out of Box,0,,,
Vendor7,Sensory Rehabilitation-Hearing and Audio-Vestibular Care,"Prevent injury, impairment, functional limitation, and disability for hearing and-or tinnitus and optimize human performance.",Out of Box,0,,,
Vendor7,Sensory Rehabilitation-Hearing and Audio-Vestibular Care,Promote standardized clinical practice models for hearing healthcare.,Out of Box,0,,,
Vendor7,Substance Abuse Care,"Client, Family, and Community Education",Out of Box with Configuration,0,,,
Vendor7,Substance Abuse Care,Clinical Evaluation,Out of Box,0,,,
Vendor7,Substance Abuse Care,Counseling,Out of Box,0,,,
Vendor7,Substance Abuse Care,Documentation,Out of Box,0,,,
Vendor7,Substance Abuse Care,Professional and Ethical Responsibilities,Does Not Support,0,,,
Vendor7,Substance Abuse Care,Service Coordination,Out of Box,0,,,
Vendor7,Substance Abuse Care,Treatment Planning,Out of Box,0,,,
Vendor7,Surgery (Ambulatory),Discharge patient,Out of Box,0,,,
Vendor7,Surgery (Ambulatory),Document care provided,Out of Box,0,,,
Vendor7,Surgery (Ambulatory),Identify patients who will benefit from outpatient surgery,Out of Box,0,,,
Vendor7,Surgery (Ambulatory),Perform surgical procedure,Out of Box,0,,,
Vendor7,Surgery (Ambulatory),Prepare patient for surgery,Out of Box,0,,,
Vendor7,Surgery (Ambulatory),Provide outpatient post-op care,Out of Box,0,,,
Vendor7,Surgery (Ambulatory),Recover Patient,Out of Box with Configuration,0,,,
Vendor7,Surgery (Inpatient),Admit patient who has been identified as needing surgery,Does Not Support,0,,,
Vendor7,Surgery (Inpatient),Document care provided,Does Not Support,0,,,
Vendor7,Surgery (Inpatient),Perform operation,Does Not Support,0,,,
Vendor7,Surgery (Inpatient),Prepare patient for surgery,Does Not Support,0,,,
Vendor7,Surgery (Inpatient),Provide inpatient post op care.,Does Not Support,0,,,
Vendor7,Surgery (Inpatient),Recover Patient,Does Not Support,0,,,
Vendor7,Synchronize Execution across All Domains,"Collaboratively coordinate Intra and Inter PM. When applicable, coordinate with Unified Cross Domain Management Office (UCDMO), and ensure compliance with HIPAA throughout the continuum of care.",Does Not Support,0,,,
Vendor7,Synchronize Execution across All Domains,"Coordinate joint health service support operations with non-DoD national agencies, NGOs and international organizations.",Does Not Support,0,,,
Vendor7,Synchronize Execution across All Domains,"Synchronize joint health service support operations, to include support to non-traditional populations.",Does Not Support,0,,,
Vendor7,Therapeutic Radiology Services,Deliver Therapeutic Radiation,Does Not Support,0,,,
Vendor7,Therapeutic Radiology Services,Implement Advanced Technologies,Does Not Support,0,,,
Vendor7,Therapeutic Radiology Services,Support Research,Out of Box with Configuration,0,,,
Vendor7,Total Medical Force: Total Medical Force Recruiting Operational Tasks ,Hire health care providers,Does Not Support,0,,,
Vendor7,Total Medical Force: Total Medical Force Recruiting Operational Tasks ,Understand and plan for the turnover rate of health care providers,Does Not Support,0,,,
Vendor7,Transitional Services,Assess,Does Not Support,0,,,
Vendor7,Transitional Services,Case closure,Out of Box,0,,,
Vendor7,Transitional Services,Coordinate,Out of Box,0,,,
Vendor7,Transitional Services,Document- Manage Medical and Non-medical Information,Does Not Support,0,,,
Vendor7,Transitional Services,Educate Case Managers,Does Not Support,0,,,
Vendor7,Transitional Services,Identify severely ill or injured warfighters and their family member(s)- caregiver(s) (case finding),Out of Box with Configuration,0,,,
Vendor7,Transitional Services,Implement Plan of Care,Out of Box,0,,,
Vendor7,Transitional Services,Measure Outcomes,Out of Box with Configuration,0,,,
Vendor7,Transitional Services,Monitor,Does Not Support,0,,,
Vendor7,Transitional Services,Plan,Does Not Support,0,,,
Vendor7,Utilization Management (UM),Organizational Assessment and Analysis,Does Not Support,0,,,
Vendor7,Utilization Management (UM),Program Evaluation and Reporting,Does Not Support,0,,,
Vendor7,Utilization Management (UM),Program Implementation,Does Not Support,0,,,
Vendor7,Utilization Management (UM),Program Plan and Design,Does Not Support,0,,,
Vendor7,Vision Care (Sensory Rehabilitation),"Determine ocular status, diagnosis, prognosis, and appropriate treatment plan dependent on examination findings and the patient‘s apparent or perceived loss of visual function or comfort.",Out of Box,0,,,
Vendor7,Vision Care (Sensory Rehabilitation),Maximize patient rehabilitation for loss of visual comfort or function.,Out of Box with Configuration,0,,,
Vendor7,Vision Care (Sensory Rehabilitation),"Prevent injury, impairment, functional limitation, and disability of vision and preserve ocular health to optimize human performance.",Out of Box,0,,,
