Vendor,Capability,Task,SupportLevel,CustomizationEffort,System,Comments,C:/Users/pkapaleeswaran/workspacej2/FoxHole/db/VendorSelection/Task.prop
Vendor4,Substance Abuse Care,Counseling,Out of Box,0,,,
Vendor4,Substance Abuse Care,Documentation,Out of Box,0,,,
Vendor4,Substance Abuse Care,Professional and Ethical Responsibilities,Out of Box,0,,,
Vendor4,Substance Abuse Care,Service Coordination,Out of Box,0,,,
Vendor4,Substance Abuse Care,Treatment Planning,Out of Box,0,,,
Vendor4,Surgery (Ambulatory),Discharge patient,Out of Box,0,,,
Vendor4,Surgery (Ambulatory),Document care provided,Out of Box,0,,,
Vendor4,Surgery (Ambulatory),Identify patients who will benefit from outpatient surgery,Out of Box,0,,,
Vendor4,Surgery (Ambulatory),Perform surgical procedure,Out of Box,0,,,
Vendor4,Surgery (Ambulatory),Prepare patient for surgery,Out of Box,0,,,
Vendor4,Surgery (Ambulatory),Provide outpatient post-op care,Out of Box,0,,,
Vendor4,Surgery (Ambulatory),Recover Patient,Out of Box,0,,,
Vendor4,Surgery (Inpatient),Admit patient who has been identified as needing surgery,Out of Box,0,,,
Vendor4,Surgery (Inpatient),Document care provided,Out of Box,0,,,
Vendor4,Surgery (Inpatient),Perform operation,Out of Box,0,,,
Vendor4,Surgery (Inpatient),Prepare patient for surgery,Out of Box,0,,,
Vendor4,Surgery (Inpatient),Provide inpatient post op care.,Out of Box,0,,,
Vendor4,Surgery (Inpatient),Recover Patient,Out of Box,0,,,
Vendor4,Synchronize Execution across All Domains,"Collaboratively coordinate Intra and Inter PM. When applicable, coordinate with Unified Cross Domain Management Office (UCDMO), and ensure compliance with HIPAA throughout the continuum of care.",Out of Box,0,,,
Vendor4,Synchronize Execution across All Domains,"Coordinate joint health service support operations with non-DoD national agencies, NGOs and international organizations.",Out of Box,0,,,
Vendor4,Synchronize Execution across All Domains,"Synchronize joint health service support operations, to include support to non-traditional populations.",Out of Box,0,,,
Vendor4,Therapeutic Radiology Services,Deliver Therapeutic Radiation,Does Not Support,0,,,
Vendor4,Therapeutic Radiology Services,Implement Advanced Technologies,Does Not Support,0,,,
Vendor4,Therapeutic Radiology Services,Support Research,Does Not Support,0,,,
Vendor4,Total Medical Force: Total Medical Force Recruiting Operational Tasks ,Hire health care providers,Does Not Support,0,,,
Vendor4,Total Medical Force: Total Medical Force Recruiting Operational Tasks ,Understand and plan for the turnover rate of health care providers,Does Not Support,0,,,
Vendor4,Transitional Services,Assess,Out of Box,0,,,
Vendor4,Transitional Services,Case closure,Out of Box,0,,,
Vendor4,Transitional Services,Coordinate,Out of Box,0,,,
Vendor4,Transitional Services,Document- Manage Medical and Non-medical Information,Out of Box,0,,,
Vendor4,Transitional Services,Educate Case Managers,Does Not Support,0,,,
Vendor4,Transitional Services,Identify severely ill or injured warfighters and their family member(s)- caregiver(s) (case finding),Out of Box,0,,,
Vendor4,Transitional Services,Implement Plan of Care,Out of Box,0,,,
Vendor4,Transitional Services,Measure Outcomes,Out of Box,0,,,
Vendor4,Transitional Services,Monitor,Out of Box,0,,,
Vendor4,Transitional Services,Plan,Out of Box,0,,,
Vendor4,Utilization Management (UM),Organizational Assessment and Analysis,Out of Box,0,,,
Vendor4,Utilization Management (UM),Program Evaluation and Reporting,Out of Box,0,,,
Vendor4,Utilization Management (UM),Program Implementation,Out of Box,0,,,
Vendor4,Utilization Management (UM),Program Plan and Design,Out of Box,0,,,
Vendor4,Vision Care (Sensory Rehabilitation),"Determine ocular status, diagnosis, prognosis, and appropriate treatment plan dependent on examination findings and the patient‘s apparent or perceived loss of visual function or comfort.",Out of Box,0,,,
Vendor4,Vision Care (Sensory Rehabilitation),Maximize patient rehabilitation for loss of visual comfort or function.,Out of Box,0,,,
Vendor4,Vision Care (Sensory Rehabilitation),"Prevent injury, impairment, functional limitation, and disability of vision and preserve ocular health to optimize human performance.",Out of Box,0,,,
