Vendor,Capability,Task,SupportLevel,CustomizationEffort,System,Comments,C:/Users/pkapaleeswaran/workspacej2/FoxHole/db/VendorSelection/Task.prop
Vendor10,Surgery (Ambulatory),Prepare patient for surgery,Does not support,0,,,
Vendor10,Surgery (Ambulatory),Provide outpatient post-op care,Does not support,0,,,
Vendor10,Surgery (Ambulatory),Recover Patient,Does not support,0,,,
Vendor10,Surgery (Inpatient),Admit patient who has been identified as needing surgery,Does not support,0,,,
Vendor10,Surgery (Inpatient),Document care provided,Does not support,0,,,
Vendor10,Surgery (Inpatient),Perform operation,Does not support,0,,,
Vendor10,Surgery (Inpatient),Prepare patient for surgery,Does not support,0,,,
Vendor10,Surgery (Inpatient),Provide inpatient post op care.,Does not support,0,,,
Vendor10,Surgery (Inpatient),Recover Patient,Does not support,0,,,
Vendor10,Synchronize Execution across All Domains,"Collaboratively coordinate Intra and Inter PM. When applicable, coordinate with Unified Cross Domain Management Office (UCDMO), and ensure compliance with HIPAA throughout the continuum of care.",Out of Box with Configuration,0,,,
Vendor10,Synchronize Execution across All Domains,"Coordinate joint health service support operations with non-DoD national agencies, NGOs and international organizations.",Out of Box with Configuration,0,,,
Vendor10,Synchronize Execution across All Domains,"Synchronize joint health service support operations, to include support to non-traditional populations.",Out of Box with Configuration,0,,,
Vendor10,Therapeutic Radiology Services,Deliver Therapeutic Radiation,Does not support,0,,,
Vendor10,Therapeutic Radiology Services,Implement Advanced Technologies,Does not support,0,,,
Vendor10,Therapeutic Radiology Services,Support Research,Does not support,0,,,
Vendor10,Total Medical Force: Total Medical Force Recruiting Operational Tasks ,Hire health care providers,Does not support,0,,,
Vendor10,Total Medical Force: Total Medical Force Recruiting Operational Tasks ,Understand and plan for the turnover rate of health care providers,Does not support,0,,,
Vendor10,Transitional Services,Assess,Does not support,0,,,
Vendor10,Transitional Services,Case closure,Does not support,0,,,
Vendor10,Transitional Services,Coordinate,Does not support,0,,,
Vendor10,Transitional Services,Document- Manage Medical and Non-medical Information,Does not support,0,,,
Vendor10,Transitional Services,Educate Case Managers,Does not support,0,,,
Vendor10,Transitional Services,Identify severely ill or injured warfighters and their family member(s)- caregiver(s) (case finding),Does not support,0,,,
Vendor10,Transitional Services,Implement Plan of Care,Does not support,0,,,
Vendor10,Transitional Services,Measure Outcomes,Does not support,0,,,
Vendor10,Transitional Services,Monitor,Does not support,0,,,
Vendor10,Transitional Services,Plan,Does not support,0,,,
Vendor10,Utilization Management (UM),Organizational Assessment and Analysis,Does not support,0,,,
Vendor10,Utilization Management (UM),Program Evaluation and Reporting,Does not support,0,,,
Vendor10,Utilization Management (UM),Program Implementation,Does not support,0,,,
Vendor10,Utilization Management (UM),Program Plan and Design,Does not support,0,,,
Vendor10,Vision Care (Sensory Rehabilitation),"Determine ocular status, diagnosis, prognosis, and appropriate treatment plan dependent on examination findings and the patient‘s apparent or perceived loss of visual function or comfort.",Does not support,0,,,
Vendor10,Vision Care (Sensory Rehabilitation),Maximize patient rehabilitation for loss of visual comfort or function.,Does not support,0,,,
Vendor10,Vision Care (Sensory Rehabilitation),"Prevent injury, impairment, functional limitation, and disability of vision and preserve ocular health to optimize human performance.",Does not support,0,,,
